ایستگاه,تاریخ,دمای حداقل,دمای حداکثر,نقطه شبنم,رطوبت نسبی,میانگین سرعت باد
stationid,datetime,tmin,tmax,td_m,um,ffm
40768,2021-01-01 00:00:00,-7.8,8.1,-5.075,75.75,0.875
40768,2021-01-02 00:00:00,-7.5,9.3,-4.8,74.75,1.375
40768,2021-01-03 00:00:00,-7.4,8.8,-4.8,76.25,0.75
40768,2021-01-04 00:00:00,-8.5,6.4,-7.5125,70,1.125
40768,2021-01-05 00:00:00,-10,6.5,-9.4375,67.5,1.25
40768,2021-01-06 00:00:00,-10.9,5.8,-12.15,59.625,1.25
40768,2021-01-07 00:00:00,-11.1,7.4,-11.7125,57.75,2
40768,2021-01-08 00:00:00,-10.6,8.3,-9.9375,62.625,1.125
40768,2021-01-09 00:00:00,-11.2,8.6,-10.8125,59.625,1.375
40768,2021-01-10 00:00:00,-10.1,10,-10.8375,57.75,0.625
40768,2021-01-11 00:00:00,-11,14,-10.5,55,1.375
40768,2021-01-12 00:00:00,-8.4,17,-8.3,51.25,1.625
40768,2021-01-13 00:00:00,-6.6,15.2,-6.775,54.5,1.5
40768,2021-01-14 00:00:00,-4.1,15.6,-13.3556,33.3333,2.5
40768,2021-01-15 00:00:00,-1.1,8.5,-7.0375,49.875,4.25
40768,2021-01-16 00:00:00,-6.4,10.9,-5.125,67,1.625
40768,2021-01-17 00:00:00,-5.9,9.7,-4.7875,63.75,2.25
40768,2021-01-18 00:00:00,-1.8,8.8,-3.85,57.75,4.75
40768,2021-01-19 00:00:00,-2.6,9.4,-7.7875,42.5,4.25
40768,2021-01-20 00:00:00,-3.9,8.6,-8.325,49.875,2.625
40768,2021-01-21 00:00:00,-3,-0.7,-7.875,72.375,3.75
40768,2021-01-22 00:00:00,-10.3,-0.3,-10.4125,71.875,2.125
40768,2021-01-23 00:00:00,-12.3,4.5,-10.3875,70.25,0.875
40768,2021-01-24 00:00:00,-11.8,8.4,-9.6875,66.5,0.5
40768,2021-01-25 00:00:00,-10.4,10.3,-9.625,58.25,1.375
40768,2021-01-26 00:00:00,-8.9,10.8,-9.675,55.125,2.25
40768,2021-01-27 00:00:00,-9.1,12.9,-8.25556,57.6667,1.77778
40768,2021-01-28 00:00:00,-4.5,14.2,-5.275,50.875,1.75
40768,2021-01-29 00:00:00,3.1,12.4,-0.475,63.875,4.75
40768,2021-01-30 00:00:00,0.3,7.4,-5.4625,58.375,3.625
40768,2021-01-31 00:00:00,-5.9,10.6,-7.5875,52,2.375
40768,2021-02-01 00:00:00,-4.1,9.7,-3.85,70.125,1.625
40768,2021-02-02 00:00:00,-6.9,13.1,-4.5625,67.375,0.5
40768,2021-02-03 00:00:00,-5.9,17,-5.2875,58.625,1.125
40768,2021-02-04 00:00:00,-6.1,15.6,-4.9875,50.625,1.75
40768,2021-02-05 00:00:00,2.6,11,1.45,69.25,4.125
40768,2021-02-06 00:00:00,3.6,6.5,2.2875,85.75,2.5
40768,2021-02-07 00:00:00,2.6,9.4,1.825,86.375,2.25
40768,2021-02-08 00:00:00,-2.4,14.4,-1.4125,70.625,2.5
40768,2021-02-09 00:00:00,-2.6,17.4,-5.1125,52,2.125
40768,2021-02-10 00:00:00,-3.2,15.1,-4.525,52.125,1.875
40768,2021-02-11 00:00:00,-2,13.7,-7.9,44.375,3
40768,2021-02-12 00:00:00,-4.8,16.5,-8,45.625,2.125
40768,2021-02-13 00:00:00,-4.4,16.2,-10.725,40.625,2.5
40768,2021-02-14 00:00:00,-5.1,17.9,-10.8625,37,1.875
40768,2021-02-15 00:00:00,-6.1,17.8,-8.1125,40.75,2.625
40768,2021-02-16 00:00:00,1.7,17.4,-2.45,36.375,4.125
40768,2021-02-17 00:00:00,10,14.2,-0.775,62.125,6.5
40768,2021-02-18 00:00:00,0.6,2.1,-1.9625,88.75,3.125
40768,2021-02-19 00:00:00,-5.9,3.3,-9.1375,62.125,3
40768,2021-02-20 00:00:00,-8.8,5.8,-7.125,64.875,2.375
40768,2021-02-21 00:00:00,-4,6.7,-4.9,64.75,2.625
40768,2021-02-22 00:00:00,-4.6,8.7,-7.7875,54.5,2.75
40768,2021-02-23 00:00:00,-6.6,10.6,-10.125,49.5,2.25
40768,2021-02-24 00:00:00,-6.6,9.8,-9.2875,50.75,2.375
40768,2021-02-25 00:00:00,-3.7,-0.1,-5.55,75.5,4
40768,2021-02-26 00:00:00,-3.1,5.4,-5.2,73,2
40768,2021-02-27 00:00:00,-5.8,9.8,-4.8375,69.125,1.5
40768,2021-02-28 00:00:00,-6.6,12,-6.15,54.125,2.125
40768,2021-03-01 00:00:00,2,10.9,-2.2,63.125,2.5
40768,2021-03-02 00:00:00,-3,11.6,-3.6875,61.75,2.375
40768,2021-03-03 00:00:00,-3.6,12.1,-4.7,55.375,2.5
40768,2021-03-04 00:00:00,-3.1,14.6,-2.5375,60.5,3.25
40768,2021-03-05 00:00:00,2.8,11.4,-1.0875,64.25,4.375
40768,2021-03-06 00:00:00,-5.2,12.7,-4.95,58.25,2.875
40768,2021-03-07 00:00:00,-5.2,15.8,-10.65,40.875,2.625
40768,2021-03-08 00:00:00,-1.9,15,-8.3875,32.625,3.25
40768,2021-03-09 00:00:00,2.5,13.1,-7.075,35.125,5.625
40768,2021-03-10 00:00:00,1.3,13.2,-4.55,45.25,4
40768,2021-03-11 00:00:00,1.2,16.4,-0.275,50.625,6
40768,2021-03-12 00:00:00,6.4,9.7,2.0125,79.375,4.125
40768,2021-03-13 00:00:00,-3.6,6.2,-3.05,81.25,3.125
40768,2021-03-14 00:00:00,-3.9,10.8,0.6,87.75,0.875
40768,2021-03-15 00:00:00,-0.8,15.6,0.775,68.5,1.125
40768,2021-03-16 00:00:00,2,18.3,-0.125,52,2.875
40768,2021-03-17 00:00:00,4.3,20.2,0.9375,47.75,2.875
40768,2021-03-18 00:00:00,7.2,18.5,-1.9,34.625,5.625
40768,2021-03-19 00:00:00,3.4,14.4,-7.8,32.75,4.875
40768,2021-03-20 00:00:00,-5.9,14.4,-10.2375,38.75,2.5
40768,2021-03-21 00:00:00,1.8,15.7,-6.65,34.375,3.75
40768,2021-03-22 00:00:00,-0.4,17.2,-5.43333,39.4444,4.33333
40768,2021-03-23 00:00:00,7.6,16.8,0.825,49.125,4.25
40768,2021-03-24 00:00:00,4.3,20.2,1.1,35.875,6.5
40768,2021-03-25 00:00:00,6.7,17.4,0.8125,50.75,3.875
40768,2021-03-26 00:00:00,0.3,17.6,-6.7125,36.25,3.25
40768,2021-03-27 00:00:00,2.3,16.7,-8.825,28.5,5.125
40768,2021-03-28 00:00:00,-3,10.9,-10.3375,39.25,3
40768,2021-03-29 00:00:00,-5.6,16.2,-11.0625,38.625,2.25
40768,2021-03-30 00:00:00,-6.6,20.1,-7.525,42,2
40768,2021-03-31 00:00:00,-1.2,17.9,-1.625,53.25,2.75
40768,2021-04-01 00:00:00,2.1,21.8,1.975,53.75,3.375
40768,2021-04-02 00:00:00,3.4,19.4,-0.325,42.875,3.375
40768,2021-04-03 00:00:00,3.9,14.4,-7.45,36.625,6.25
40768,2021-04-04 00:00:00,-5,16.1,-6.325,44.375,2
40768,2021-04-05 00:00:00,-1.3,17.3,-7.275,38.625,3.375
40768,2021-04-06 00:00:00,1.7,21.1,-4.2625,35.375,4.375
40768,2021-04-07 00:00:00,0.7,23.4,-6.75,33.25,1.75
40768,2021-04-08 00:00:00,2.9,23.8,-3.65,31.625,2.125
40768,2021-04-09 00:00:00,10.5,23.3,0.825,36.875,4.125
40768,2021-04-10 00:00:00,5.8,23.3,-0.375,42,4
40768,2021-04-11 00:00:00,7.5,22,1.8125,48.25,5.375
40768,2021-04-12 00:00:00,1.9,21.4,-1.5625,44.5,2.875
40768,2021-04-13 00:00:00,0.5,22.1,-3.3875,39.375,3.625
40768,2021-04-14 00:00:00,4,21.6,-4.025,35.25,4.25
40768,2021-04-15 00:00:00,-1,21.4,-10.075,24.25,2.5
40768,2021-04-16 00:00:00,2.1,21.2,-6.8375,29.5,2.5
40768,2021-04-17 00:00:00,2,23.1,-4.225,35,2.125
40768,2021-04-18 00:00:00,1.4,24.5,-2.0125,37.5,1.625
40768,2021-04-19 00:00:00,6.3,25.2,0.8375,40,2
40768,2021-04-20 00:00:00,6.2,26.9,0.9625,36.25,1.875
40768,2021-04-21 00:00:00,8.6,28.5,2.825,40.75,3
40768,2021-04-22 00:00:00,6.7,28.8,1.4375,38.75,2.375
40768,2021-04-23 00:00:00,8.6,27,3.5125,44.75,3
